,summonerId,champion,champion level,champion points
0,4H_F9a3vJ9-MBTODZE8-SttnyWyb4SmIjJGJxjbonv8g-hnP,498,3,7357
1,4H_F9a3vJ9-MBTODZE8-SttnyWyb4SmIjJGJxjbonv8g-hnP,110,2,4443
2,4H_F9a3vJ9-MBTODZE8-SttnyWyb4SmIjJGJxjbonv8g-hnP,67,2,2249
3,4H_F9a3vJ9-MBTODZE8-SttnyWyb4SmIjJGJxjbonv8g-hnP,236,2,2060
4,4H_F9a3vJ9-MBTODZE8-SttnyWyb4SmIjJGJxjbonv8g-hnP,64,2,1852
5,4H_F9a3vJ9-MBTODZE8-SttnyWyb4SmIjJGJxjbonv8g-hnP,145,1,1352
6,4H_F9a3vJ9-MBTODZE8-SttnyWyb4SmIjJGJxjbonv8g-hnP,133,1,1258
7,4H_F9a3vJ9-MBTODZE8-SttnyWyb4SmIjJGJxjbonv8g-hnP,21,1,1212
8,4H_F9a3vJ9-MBTODZE8-SttnyWyb4SmIjJGJxjbonv8g-hnP,121,1,1150
9,4H_F9a3vJ9-MBTODZE8-SttnyWyb4SmIjJGJxjbonv8g-hnP,1,1,1142
10,4H_F9a3vJ9-MBTODZE8-SttnyWyb4SmIjJGJxjbonv8g-hnP,119,1,1133
11,4H_F9a3vJ9-MBTODZE8-SttnyWyb4SmIjJGJxjbonv8g-hnP,104,1,1081
12,4H_F9a3vJ9-MBTODZE8-SttnyWyb4SmIjJGJxjbonv8g-hnP,99,1,962
13,4H_F9a3vJ9-MBTODZE8-SttnyWyb4SmIjJGJxjbonv8g-hnP,92,1,870
14,4H_F9a3vJ9-MBTODZE8-SttnyWyb4SmIjJGJxjbonv8g-hnP,51,1,736
15,4H_F9a3vJ9-MBTODZE8-SttnyWyb4SmIjJGJxjbonv8g-hnP,13,1,671
16,4H_F9a3vJ9-MBTODZE8-SttnyWyb4SmIjJGJxjbonv8g-hnP,59,1,658
17,4H_F9a3vJ9-MBTODZE8-SttnyWyb4SmIjJGJxjbonv8g-hnP,55,1,658
18,4H_F9a3vJ9-MBTODZE8-SttnyWyb4SmIjJGJxjbonv8g-hnP,42,1,642
19,4H_F9a3vJ9-MBTODZE8-SttnyWyb4SmIjJGJxjbonv8g-hnP,8,1,621
20,4H_F9a3vJ9-MBTODZE8-SttnyWyb4SmIjJGJxjbonv8g-hnP,96,1,612
21,4H_F9a3vJ9-MBTODZE8-SttnyWyb4SmIjJGJxjbonv8g-hnP,25,1,504
22,4H_F9a3vJ9-MBTODZE8-SttnyWyb4SmIjJGJxjbonv8g-hnP,120,1,412
23,4H_F9a3vJ9-MBTODZE8-SttnyWyb4SmIjJGJxjbonv8g-hnP,427,1,150
24,4H_F9a3vJ9-MBTODZE8-SttnyWyb4SmIjJGJxjbonv8g-hnP,82,1,121
25,4H_F9a3vJ9-MBTODZE8-SttnyWyb4SmIjJGJxjbonv8g-hnP,68,1,118
26,4H_F9a3vJ9-MBTODZE8-SttnyWyb4SmIjJGJxjbonv8g-hnP,103,1,113
27,4H_F9a3vJ9-MBTODZE8-SttnyWyb4SmIjJGJxjbonv8g-hnP,154,1,106
28,4H_F9a3vJ9-MBTODZE8-SttnyWyb4SmIjJGJxjbonv8g-hnP,34,1,96
29,4H_F9a3vJ9-MBTODZE8-SttnyWyb4SmIjJGJxjbonv8g-hnP,53,1,88
30,4H_F9a3vJ9-MBTODZE8-SttnyWyb4SmIjJGJxjbonv8g-hnP,497,1,87
31,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,17,7,571541
32,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,41,7,184973
33,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,53,6,164266
34,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,202,7,153249
35,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,222,7,138300
36,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,69,7,119825
37,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,107,7,117035
38,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,32,7,108065
39,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,81,7,106788
40,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,498,7,96061
41,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,29,7,95841
42,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,83,7,86995
43,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,145,7,84713
44,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,75,6,83596
45,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,157,6,79514
46,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,86,6,78398
47,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,45,6,77233
