,name,id,account ID,puuid
0,Jeskla,4H_F9a3vJ9-MBTODZE8-SttnyWyb4SmIjJGJxjbonv8g-hnP,Coz3xnh0cvuM1w_3RCjPOnxorcRrvR7jNJ1GGasOMbkic0c0pKjeT09S,hpItgEsX-n9WegwKAn8S8B4P_OP-yHBxLl3wSkllDIR0KViwpEeli5DcSnKwnNmuu_Wr8OyC6Oorbg
1,promisq,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,GwrgFEZCIZsoOyaJIkDytATxtVrJC0HPv-7z1YjU27FXYj0,aGT1DH9ua45A4epiXuj_4RJhWxETzanrzl6uMkAh37boARofOhrgYEjlCgkgog5cAd0Nj4iOl_5DhA
2,WhiteKnight,11hdO8uXLwrilu5ABHjShAkRG06pJvUyegCgDTtkm28zuoQ,GbOI_GQcCaRONjQMqn1ys3qdswr4aOsadHx0mN4amm4HTQ,OkSy1lrfDH2nAudtqlj2NijRa4l_-cO1Y5ZvVBmtsc6Sor0XJ8pnvaKaVdnpX8dLWN060itn6GANKA
3,Zanzarah,WYqfsKji7k4-Qws-69LICpObTqzGgmM-vbj3kmb7QPjoSbM,cluEmtgY32dNiyCP0NOV12ss2-YJd0fEqLxpqsFtm_UIK24,MIv6dYKzf0iRe6BWm9FrNQ2DYsJkV2xSLBxunkWXAao5ner4P2nWEJLKFaitdSgU8HDBAzdgXd3ewA
4,MagiFelix,O_Qn56UOYIypWNafHPU2dT9vf8bFF1Do-SSUg3hSaCdeywA,hoSgSXRRjdazugoZMyk4x_wePBqKgUqpzV6BHo68aWAmqjk,5Pe12raaULvek2tDCFdaXTE5zontCHSKUu1hVxgpZD79t2pP-LSF9nBV1KIsJarrQCH9c13Wjs2Ebw
5,Nukeduck,o-gYA3E__FFnpACHFxn0k9BLDBsJkN9jq9d7ZFsoIZjXyu0,yY2gRGb-gICRKHim9jqvMmlCXVQuSkGUIJktDjxY8C_VYQ,H1LYNDJosBVMdq_cBIstpGdxAG-n0P9aEXzX5J5rNWYfnLm28uQ_tRjk0QBNQfS4lKme2d2RKVYmrg
6,Czekolad,wbIHCIZ2zZvqa3IB4x1eKvplzlvm_ZCpoTskagRthsLcTH9dBdfKANO2NQ,qxn4H8Fei2OEqCV23Gp50gEOvGo4A2WJzorDElIv9x_n4-dgcH8CTSQ7,5_cETNp0lEDRQWwpHN2gC_vwi7Ga6rADo0hnB83o88l6mcfrY-xhpQw_MUr4VrkgVhlYMaaBl6wPZw
7,Dan,htKqss9FMEMUMmjUufWEzhcajp2kNDH8yaHpo3hj0zlhtug,rV3nvIPRli5XTBwRfMMhvWMZbZ-JdXrfoF061igWpgtwdf0,rhaGubYSF-PcGmzm_-X6xXR4viYjFR1KX-g_2C0Uai_VIo078ZeE0fWjwszskgVRMoYoDWkffEW1UQ
8,Kryze,25z0hWXY5gWYc7oy2aTkZClYQrVVBujaJU0b3NlLuHslqAc,5lcC2_LF0rE1VEf4WRMUL8YUPMvdN9G82G56RKleyRvRGL8,dx1KfmMA9oFk7pCC6Dg7qhSA2NRdasS9lwrwD5c4zOk4S5wCnIvGgzhavRHUk8aYvYW8FV9Dic3Krg
9,Patrik,Gf07pxgjQbcfVpCIkFlhfr1LGyAX17cmvNVLCBGG7xpd56g,_rPkiIPMuh_wLi3j8kGL08Q0fdYbv8hD_9X3rfMNUO1EiqY,c5-4tSEEtv4VNxdGrjv9PLGVZf7ds_Rj61qNxecJ8gY6R1-NBQwI6Rqgo5uubdJUiDf6HqXqZxArZg
10,Johannes KIæbo,pjDCkFTp4t-1Bj9Wfe5epGGoVuwIkvsXztLrrFER03n46YU,HP51wjll4ionrrBw7g_Y89941R5EsH8vMmlm6uf2rEWG8Q,CEXg0oyOyHdAlr1QzGWN6qgux7nHXRXBh1ZUVy_SLzaDn8z7Hy7wZqr_NbQm4IwcK3K02k4KgxO8dA
11,100 Abbedagge,-7gh9EbZW-f0HMzqp9HTviiSs8bu5SPxlKfYMqTCbYtLfHI,ApmrzD9zU61soOEy4qy4hxNMI_RRvjU1GeQcM28c0XAgew,k_ctRAQWc_bf1A_ytes3ICvjfjhhlrpO8bORujFyHlMlr5TeInacxQStjA1hTjoyZ1NmNqaIHu37yg
12,BrokenBlade,OqNBXAtezYv0TuU316TQ7ghao5TV_r6nWzeWvUhw1iCD4pg,vQGn-20BiEfAXV3FOP0fu8GO32rZIgV3BOdMgD-p_npKfQ,DcsM8PdTLHNQbSiOeUPDsNXuiIqs1rSJsq0lnExwl7B-TDhZh3ip_hk83rId-OvID2cgUP1wkc8l6g
13,Gilius,o_cJs7VGIP-N8Lq9wtH2geUSE8VU3NAd5zmz_fWRLElhGLk-0Ky_wePG1w,2y578KCoINJisbXxmWXxIgemgZLFQ4uC5INMh34RjypuHgbOgtaOpqby,4RCg1o8bT2aggK1I9nEEcKGNE3GBCLvAVkg-LgogbBCbWdjDlWR4OxddHk8METIVYKNiY7h_cE1QbQ
14,LIMIT,r8Bi59Roq4k0xuk8PIL5d_V1LKFCNNVRKlfcumgFNMWwQHQ,m8ixfwWc2wINLgJsAxfV59zdvrYydmAPo5MS-aj6HMGSA1g,R1NT0MHwbZF--GbaxPLKELn5kA6Sd4b7e-HnEFGE0v7bk_g_LUA_ypPvR3mOSC8_nZWYsuZZy6_QcQ
15,Neon,e0TYt4VpiSfFbAxyq0maTcGv5P96dx6DvxtZ0d6XpXWuJrI,uz5ZcJ_wKe3A1XKa9cLsvLQnHGg8l4PG4YURcjcUj6J_Qw,FC4Cm9BY1NL8dRFg2yTy5Tf55mi47SCdppZ8sJctmzU84XxHLrLPf-ogZljfGooi5kFn8K6SyXO8TA
16,Bwipo,kbZHcQzuncVTH0T_LczJqD_MDENq47kon-LM_1PK2HGfxg0,iEIBVpekh8yG9eu1JpIqQs9nohS3ov2nHU5hsF75zPSZ6Q,nsb1LAKQHFJdAH5z-n8LftHsuuk-qCudmyLcnhHlHKrjc3V433p8Pjlljd6QIA52qMzLSXdUr2zyFw
17,Hilyssang,kbZHcQzuncVTH0T_LczJqD_MDENq47kon-LM_1PK2HGfxg0,iEIBVpekh8yG9eu1JpIqQs9nohS3ov2nHU5hsF75zPSZ6Q,nsb1LAKQHFJdAH5z-n8LftHsuuk-qCudmyLcnhHlHKrjc3V433p8Pjlljd6QIA52qMzLSXdUr2zyFw
18,Nisqy,pwC_Tu4eJvvqglAOH3VFu-uZsHI5flZ5axyfgjd-4mDVX4J2,ArUebBcAipoo0jzCo8oDokUx8yGXLlhQdqrjeOL01JdHFpdcFHYxnesH,L2lH16LlyLFNGNBcnjxh0RSh-ExRDSKwDNnmjeS9NGsts0Bh2I-kQzafgP5id6QadFA6ht1PYOYxAw
19,Upset,FxtnySDkUS9ji8kqFSnqz_plSnKx5dfSmfGM-rhlzG9CrjQ,xOcC-Ch405Ajjv_jJJZsOkF1FKKJXKMrWRyi2TgvVxtcY0I,BXOlDuKejcUqNxKEjXOkoK-LJim6U5e_yO8vL1zaUNQ4S_AnOEGVA0GoBxYR7oK507v_2OQroV9Gcw
20,Selfmade,CD8u4zsY7cgsL8Jm3wkqLBTk6AHuaUNwmLTeZTun-jek7eY,hlT6IfXueADnh1FW5DhJByLT3SF3i6ySxftP_G7N-U0fXg,yRmJ26X-WyVnodeWa67BWem9yZ3LWNMiggNMUY1gfeKHwOpC5gxwXHCpwsdMHJ1bQONUjQmuHmXicg
